Timestamp: 22985 Accel X:-0.47 Accel Y:0.55 Accel Z:9.86
Timestamp: 23085 Accel X:-0.49 Accel Y:0.57 Accel Z:9.83
Timestamp: 23185 Accel X:-0.46 Accel Y:0.57 Accel Z:9.84
Timestamp: 23286 Accel X:-0.45 Accel Y:0.57 Accel Z:9.84
Timestamp: 23386 Accel X:-0.47 Accel Y:0.57 Accel Z:9.86
Timestamp: 23486 Accel X:-0.48 Accel Y:0.57 Accel Z:9.81
Timestamp: 23586 Accel X:-0.45 Accel Y:0.58 Accel Z:9.81
Timestamp: 23686 Accel X:-0.48 Accel Y:0.57 Accel Z:9.84
Timestamp: 23786 Accel X:-0.48 Accel Y:0.57 Accel Z:9.84
Timestamp: 23886 Accel X:-0.47 Accel Y:0.55 Accel Z:9.85
Timestamp: 23986 Accel X:-0.45 Accel Y:0.58 Accel Z:9.82
Timestamp: 24086 Accel X:-0.48 Accel Y:0.59 Accel Z:9.82
Timestamp: 24186 Accel X:-0.46 Accel Y:0.56 Accel Z:9.85
Timestamp: 24286 Accel X:-0.47 Accel Y:0.57 Accel Z:9.88
Timestamp: 24386 Accel X:-0.48 Accel Y:0.58 Accel Z:9.82
Timestamp: 24486 Accel X:-0.49 Accel Y:0.55 Accel Z:9.82
Timestamp: 24586 Accel X:-0.47 Accel Y:0.57 Accel Z:9.82
Timestamp: 24686 Accel X:-0.47 Accel Y:0.60 Accel Z:9.85
Timestamp: 24786 Accel X:-0.48 Accel Y:0.56 Accel Z:9.84
Timestamp: 24886 Accel X:-0.47 Accel Y:0.59 Accel Z:9.83
Timestamp: 24986 Accel X:-0.45 Accel Y:0.57 Accel Z:9.83
Timestamp: 25086 Accel X:-0.46 Accel Y:0.60 Accel Z:9.82
Timestamp: 25186 Accel X:-0.49 Accel Y:0.58 Accel Z:9.80
Timestamp: 25286 Accel X:-0.49 Accel Y:0.57 Accel Z:9.82
Timestamp: 25386 Accel X:-0.49 Accel Y:0.57 Accel Z:9.81
Timestamp: 25486 Accel X:-0.47 Accel Y:0.58 Accel Z:9.85
Timestamp: 25587 Accel X:-0.46 Accel Y:0.57 Accel Z:9.80
Timestamp: 25687 Accel X:-0.50 Accel Y:0.53 Accel Z:9.81
Timestamp: 25787 Accel X:-0.47 Accel Y:0.55 Accel Z:9.84
Timestamp: 25887 Accel X:-0.47 Accel Y:0.56 Accel Z:9.83
Timestamp: 25987 Accel X:-0.45 Accel Y:0.57 Accel Z:9.81
Timestamp: 26088 Accel X:-0.48 Accel Y:0.57 Accel Z:9.85
Timestamp: 26188 Accel X:-0.47 Accel Y:0.57 Accel Z:9.80
